date,infected,all_infected,newly_infected,recovered,detected,all_detected,ratio_detected,hospitalized,icu,dead,r,percent_new_infected
2020-05-25,21360.0,121689.0,823.0,99905.0,2848.0,16225.199999999999,0.13333333333333333,491.28,98.256,1622.52,0.8886283704572099,0.006763086531350152
2020-05-26,21337.0,122518.0,829.0,100755.0,2844.9333333333334,16335.733333333334,0.13333333333333333,490.751,98.1502,1633.5733333333333,0.9278350515463918,0.006766297472228797
2020-05-27,21269.0,123306.0,788.0,101607.0,2835.866666666667,16440.8,0.13333333333333333,489.187,97.8374,1644.08,1.0586854460093897,0.006390553658754166
2020-05-28,21228.0,124075.0,769.0,102417.0,2830.4,16543.333333333332,0.13333333333333333,488.24399999999997,97.6488,1654.3333333333333,0.9672897196261683,0.006197814242883394
2020-05-29,21192.0,124875.0,800.0,103251.0,2825.6,16650.0,0.13333333333333333,487.416,97.48320000000001,1665.0,0.980246913580247,0.006406355104263429
2020-05-30,21145.0,125637.0,762.0,104056.0,2819.3333333333335,16751.6,0.13333333333333333,486.335,97.267,1675.16,0.9473684210526315,0.006065044015345676
2020-05-31,21118.0,126448.0,811.0,104891.0,2815.733333333333,16859.733333333334,0.13333333333333333,485.714,97.14280000000001,1685.9733333333334,0.9913473423980222,0.006413652935175446
2020-06-01,21118.0,127268.0,820.0,105709.0,2815.733333333333,16969.066666666666,0.13333333333333333,485.714,97.14280000000001,1696.9066666666668,0.9940334128878282,0.00644304583205651
2020-06-02,21127.0,128142.0,874.0,106569.0,2816.9333333333334,17085.6,0.13333333333333333,485.921,97.1842,1708.56,0.9890243902439024,0.006820505216828075
2020-06-03,21156.0,128990.0,848.0,107384.0,2820.8,17198.666666666668,0.13333333333333333,486.58799999999997,97.3176,1719.8666666666666,0.9745664739884393,0.006574102069136606
2020-06-04,21274.0,129875.0,885.0,108147.0,2836.5333333333333,17316.666666666668,0.13333333333333333,489.30199999999996,97.8604,1731.6666666666667,0.938949938949939,0.006814191998521667
2020-06-05,21251.0,130704.0,829.0,108996.0,2833.4666666666667,17427.2,0.13333333333333333,488.77299999999997,97.7546,1742.72,0.9674054758800521,0.006342527064764163
2020-06-06,21285.0,131572.0,868.0,109829.0,2838.0,17542.933333333334,0.13333333333333333,489.555,97.911,1754.2933333333333,1.0129107981220657,0.006597098188838135
2020-06-07,21351.0,132467.0,895.0,110657.0,2846.8,17662.266666666666,0.13333333333333333,491.073,98.2146,1766.2266666666667,0.9568345323741008,0.006756348703083009
2020-06-08,21393.0,133321.0,854.0,111465.0,2852.4,17776.13333333333,0.13333333333333333,492.039,98.40780000000001,1777.6133333333332,1.0265379975874547,0.006405544471280058
2020-06-09,21523.0,134235.0,914.0,112247.0,2869.733333333333,17898.0,0.13333333333333333,495.029,99.00580000000001,1789.8,1.0270935960591132,0.006808903721803391
2020-06-10,21613.0,135174.0,939.0,113095.0,2881.733333333333,18023.2,0.13333333333333333,497.099,99.41980000000001,1802.32,0.9617346938775511,0.00694655076752358
2020-06-11,21709.0,136036.0,862.0,113859.0,2894.5333333333333,18138.13333333333,0.13333333333333333,499.307,99.8614,1813.8133333333333,0.9422850412249706,0.0063365113902835255
2020-06-12,21813.0,136918.0,882.0,114635.0,2908.4,18255.733333333334,0.13333333333333333,501.699,100.33980000000001,1825.5733333333333,0.9921671018276762,0.006441764839065433
2020-06-13,21936.0,137817.0,899.0,115411.0,2924.8,18375.6,0.13333333333333333,504.52799999999996,100.90559999999999,1837.56,0.9961439588688946,0.006523095676907225
2020-06-14,22041.0,138726.0,909.0,116210.0,2938.8,18496.8,0.13333333333333333,506.943,101.3886,1849.68,1.1404639175257731,0.006552437521174681
2020-06-15,22095.0,139627.0,901.0,117052.0,2946.0,18616.933333333334,0.13333333333333333,508.185,101.637,1861.6933333333334,1.0621890547263682,0.006452860457787837
